reader_fifo_depth               writer_fifo_depth      phase1    phase2    total_delay    total_fifo_cost
------------------------------  -------------------  --------  --------  -------------  -----------------
7,4,10,4,7,6,3,6,7,1,8,8,8,5    5,1,1,3                  2756     12484          15240                179
8,3,5,1,6,10,2,4,6,10,7,2,7,4   6,3,9,6                  2803     12572          15375                179
8,5,4,1,8,3,8,5,3,3,9,5,3,5     2,3,2,10                 2740     12553          15293                179
8,6,6,3,10,2,1,3,1,10,1,3,9,8   5,5,1,3                  2705     12480          15185                180
10,7,9,1,3,5,3,3,3,6,6,4,5,8    6,5,2,4                  2652     12613          15265                181
9,6,6,3,9,2,1,3,1,10,1,3,9,8    5,5,1,3                  2687     12480          15167                181
10,5,9,2,6,4,2,4,1,7,7,3,5,7    7,7,3,5                  2677     12503          15180                182
5,3,7,2,3,4,5,8,2,6,6,1,7,2     1,10,10,9                2806     14032          16838                183
9,5,6,3,3,3,5,10,4,1,7,7,3,4    4,1,5,7                  2668     12488          15156                183
9,2,7,5,3,4,5,8,1,6,4,6,5,7     6,4,3,6                  2808     12511          15319                184
6,9,5,1,2,3,7,2,4,2,9,6,8,4     1,2,6,8                  2737     13432          16169                184
8,6,6,4,9,2,2,3,1,10,1,3,9,9    5,4,1,3                  2705     12500          15205                184
8,6,5,4,10,2,1,3,1,10,1,3,9,9   5,5,1,3                  2705     12480          15185                184
7,3,8,2,4,1,6,9,6,8,6,10,1,3    4,10,8,9                 3987     12891          16878                187
4,1,7,5,2,5,1,10,3,7,4,6,6,2    10,8,10,9                2627     12842          15469                188
8,8,6,3,2,2,5,9,2,5,8,8,2,4     3,3,5,7                  2763     12496          15259                188
8,6,6,3,9,2,2,5,2,9,2,3,9,8     5,4,1,3                  2705     12520          15225                188
8,6,5,4,3,5,4,9,2,4,8,6,6,4     3,1,4,6                  2781     12489          15270                189
2,8,8,6,8,5,6,5,1,2,1,7,4,6     10,3,5,8                 2817     12467          15284                190
8,6,4,10,5,8,9,7,5,10,8,3,10,1  6,5,1,1                  5502     13408          18910                190
8,8,7,2,1,3,10,5,5,7,7,8,5,6    6,7,4,3                  2700     12469          15169                191
7,7,7,5,2,2,6,10,4,9,6,9,2,3    4,2,6,7                  2855     12507          15362                192
8,8,6,3,2,1,5,9,4,5,8,9,3,4     3,3,5,7                  2691     12476          15167                194
6,10,8,3,1,3,5,7,5,7,10,8,3,2   1,2,5,9                  2787     13212          15999                194
10,5,7,4,6,9,1,3,1,10,1,4,10,9  6,4,9,1                  4671     13133          17804                194
10,6,10,3,8,1,1,9,6,3,10,7,4,4  2,1,8,6                  2808     12472          15280                196
8,8,6,3,2,1,5,9,4,5,8,9,3,4     3,6,5,7                  2695     12476          15171                197
9,8,9,3,2,2,3,10,7,1,4,8,5,4    3,2,4,6                  2790     12493          15283                198
9,2,6,3,3,7,7,10,4,2,7,9,5,7    4,2,3,7                  2731     12510          15241                199
10,8,7,2,1,4,4,10,3,5,7,6,4,5   5,3,4,5                  2678     12478          15156                199
10,4,5,8,10,3,7,7,6,3,5,4,5,7   7,6,8,4                  2681     12481          15162                200
9,7,9,7,9,6,8,7,8,4,2,5,5,5     9,1,2,4                  2691     12527          15218                200
9,9,6,3,3,1,5,9,3,6,9,10,4,2    2,1,5,8                  2681     12469          15150                200
10,8,7,2,1,4,4,10,3,5,7,7,4,5   5,3,4,5                  2678     12480          15158                200
4,7,6,4,5,5,8,8,9,4,5,9,4,6     2,9,7,5                  2785     12492          15277                201
10,8,6,2,1,6,5,10,2,5,8,6,4,5   4,4,5,5                  2678     12482          15160                202
3,1,3,2,10,9,7,9,9,2,9,6,9,9    4,2,3,5                  2722     12879          15601                204
8,7,3,8,4,7,3,6,10,3,6,4,4,10   8,5,7,3                  2696     12481          15177                204
9,9,1,6,5,3,2,4,10,4,6,8,4,10   10,3,5,4                 2687     12472          15159                205
8,9,8,4,3,1,6,9,3,4,8,10,4,3    3,5,3,8                  2716     12465          15181                206
9,9,3,7,9,4,4,10,5,4,6,5,7,4    5,1,4,3                  2683     12479          15162                207
4,10,8,6,2,2,1,9,7,8,1,10,9,3   2,2,4,6                  2913     12488          15401                209
9,10,4,2,1,2,4,10,5,6,7,9,3,5   4,3,5,7                  2669     12482          15151                210
9,9,9,9,9,9,9,9,9,9,9,9,9,9     9,9,9,9                  2685     12468          15153                306
